RefImageName,NoiseType,NoisyImage
../utils/GrayScale/276.png,2,95.png
../utils/GrayScale/257.png,2,96.png
../utils/GrayScale/257.png,1,97.png
../utils/GrayScale/280.png,3,98.png
../utils/GrayScale/273.png,3,99.png
../utils/GrayScale/263.png,1,100.png
../utils/GrayScale/295.png,1,101.png
../utils/GrayScale/284.png,0,102.png
../utils/GrayScale/221.png,3,103.png
../utils/GrayScale/262.png,3,104.png
../utils/GrayScale/239.png,2,105.png
../utils/GrayScale/242.png,2,106.png
../utils/GrayScale/208.png,2,107.png
../utils/GrayScale/238.png,3,108.png
../utils/GrayScale/236.png,1,109.png
../utils/GrayScale/250.png,0,110.png
../utils/GrayScale/285.png,0,111.png
../utils/GrayScale/292.png,1,112.png
../utils/GrayScale/291.png,3,113.png
../utils/GrayScale/237.png,2,114.png
../utils/GrayScale/205.png,2,115.png
../utils/GrayScale/228.png,0,116.png
../utils/GrayScale/221.png,3,117.png
../utils/GrayScale/259.png,2,118.png
../utils/GrayScale/217.png,0,119.png
../utils/GrayScale/287.png,1,120.png
../utils/GrayScale/236.png,0,121.png
../utils/GrayScale/226.png,0,122.png
../utils/GrayScale/238.png,3,123.png
../utils/GrayScale/267.png,1,124.png
../utils/GrayScale/299.png,3,125.png
../utils/GrayScale/265.png,2,126.png
../utils/GrayScale/204.png,2,127.png
../utils/GrayScale/210.png,1,128.png
../utils/GrayScale/211.png,1,129.png
../utils/GrayScale/298.png,0,130.png
../utils/GrayScale/206.png,2,131.png
../utils/GrayScale/247.png,3,132.png
../utils/GrayScale/297.png,3,133.png
../utils/GrayScale/271.png,0,134.png
../utils/GrayScale/226.png,1,135.png
../utils/GrayScale/206.png,0,136.png
../utils/GrayScale/205.png,0,137.png
../utils/GrayScale/251.png,1,138.png
../utils/GrayScale/295.png,0,139.png
../utils/GrayScale/229.png,1,140.png
../utils/GrayScale/239.png,2,141.png
../utils/GrayScale/275.png,1,142.png
../utils/GrayScale/223.png,0,143.png
../utils/GrayScale/252.png,1,144.png
../utils/GrayScale/208.png,1,145.png
../utils/GrayScale/233.png,3,146.png
../utils/GrayScale/242.png,3,147.png
../utils/GrayScale/241.png,3,148.png
../utils/GrayScale/277.png,2,149.png
../utils/GrayScale/276.png,3,150.png
../utils/GrayScale/256.png,0,151.png
../utils/GrayScale/269.png,1,152.png
../utils/GrayScale/269.png,0,153.png
../utils/GrayScale/251.png,0,154.png
../utils/GrayScale/290.png,2,155.png
../utils/GrayScale/227.png,2,156.png
../utils/GrayScale/293.png,2,157.png
../utils/GrayScale/223.png,1,158.png
../utils/GrayScale/215.png,3,159.png
../utils/GrayScale/238.png,2,160.png
../utils/GrayScale/200.png,2,161.png
../utils/GrayScale/223.png,0,162.png
../utils/GrayScale/276.png,2,163.png
../utils/GrayScale/220.png,1,164.png
../utils/GrayScale/242.png,2,165.png
../utils/GrayScale/278.png,2,166.png
../utils/GrayScale/209.png,3,167.png
../utils/GrayScale/270.png,1,168.png
../utils/GrayScale/299.png,3,169.png
../utils/GrayScale/216.png,2,170.png
../utils/GrayScale/247.png,0,171.png
../utils/GrayScale/265.png,0,172.png
../utils/GrayScale/287.png,3,173.png
../utils/GrayScale/211.png,0,174.png
../utils/GrayScale/237.png,3,175.png
../utils/GrayScale/214.png,0,176.png
../utils/GrayScale/252.png,1,177.png
../utils/GrayScale/230.png,1,178.png
../utils/GrayScale/241.png,1,179.png
../utils/GrayScale/281.png,2,180.png
../utils/GrayScale/292.png,3,181.png
../utils/GrayScale/213.png,0,182.png
../utils/GrayScale/256.png,1,183.png
../utils/GrayScale/208.png,2,184.png
../utils/GrayScale/247.png,3,185.png
../utils/GrayScale/233.png,2,186.png
../utils/GrayScale/275.png,3,187.png
../utils/GrayScale/203.png,1,188.png
../utils/GrayScale/219.png,0,189.png
../utils/GrayScale/256.png,2,190.png
../utils/GrayScale/244.png,3,191.png
../utils/GrayScale/278.png,0,192.png
../utils/GrayScale/200.png,0,193.png
../utils/GrayScale/236.png,2,194.png
../utils/GrayScale/235.png,2,195.png
../utils/GrayScale/201.png,1,196.png
../utils/GrayScale/282.png,0,197.png
../utils/GrayScale/261.png,3,198.png
../utils/GrayScale/218.png,1,199.png
